vendor_normalized,sum_effective_value
ADGA GROUP,235061276.50
MCKESSON CANADA,219965115.80
CISTEL TECHNOLOGY,135404934.68
SALVATION ARMY,105739874.28
LOGISTIK UNICORP,105499371.16
CANADIAN CORPS OF COMMISSIONAIRES,96753215.56
KAIROS PNEUMA CHAPLAINCY,53884050.00
BRETON MICHEL MD,46102054.32
MARCOMM,42376099.10
JOHN HOWARD SOCIETY OF OTTAWA,38485392.53
BRIDGES OF CANADA,37379420.27
JOHN HOWARD SOCIETY,32738411.00
OEI KRUEGER,31895632.05
MOTOROLA SOLUTIONS CANADA,30834485.67
ST LEONARDS SOCIETY HAMILTON,30527003.89
COLLIERS PROJECT LEADERS,30063778.90
NORTHERN MICRO,28602147.13
ST LEONARDS PLACE PEEL,26071843.80
ST LEONARDS COMMUNITY SERVICES,25283339.25
SOCIETE EMMANUEL GREGOIRE,24156450.84
DONNA CONA,23791955.37
EDMONTON JOHN HOWARD SOCIETY,20836382.42
DELCO AUTOMATION,20189051.01
MURRAYS WINDERMERE GARDENS,20168278.96
MEEWASINOTA CRF,19875019.49
CASCADE COLLEGE,18861020.00
MAISON CROSS ROADS DE LA SOCIETE,18536795.98
WESTCOAST GENESIS SOCIETY,18167733.07
UPA CONSTRUCTION GROUP ABLTD,17995442.00
NUTRITEK,17891700.58
ST LEONARDS HOUSE WINDSOR,17364029.93
MAISON CHARLEMAGNE,17363207.55
OKANAGAN HALFWAY HOUSE SOCIETY CRF,17204246.40
MAISON JEUN AIDE,16865641.73
GLENCAIRN EDUCATIONAL SERVICES,16842682.89
AHS COMMUNITY INDUSTRIES,16044802.30
EMPIRE CROCKERY COMPANY,15475476.39
THE JOHN HOWARD SOCIETY OF THE LOWER MAINLAND OF BC,15347761.50
LESAGE DAVID DR,15094892.53
REGIONAL HEALTH AUTHORITY B,14455982.00
EXTRAVISION VIDEO TECHNOLOGIES,14100223.89
JOHN HOWARD SOCIETY OF THE LOWER MAINLAND OF BC THE,14004662.92
AIR INUIT,13980832.10
MERCK FROSST,13557120.88
SENSTAR,13439678.26
NATIVE CLAN ORGANIZATION,13277150.10
JOHN HOWARD SOCIETY THOMPSON REGION,13053024.01
PRINCE GEORGE ACTIVATOR,12917093.70
AIM HEALTH GROUP,12793486.25
VIA TRAVAIL,12628176.55
RESIDENCE CARPEDIEM,12537282.11
ATLANTIC HUMAN SERVICES,12250409.21
PHOENIX DRUG ALCOHOL RECOVERY,12232800.46
CORADIX TECHNOLOGY CONSULTING,12139691.00
SHELTER NOVA SCOTIA,12034062.21
STEPHEN HUCKER MEDICINE PROFESSIONAL,11395376.73
SALESTECH MARKETING,11361647.21
GRAHAM CONSTRUCTION,11330629.33
D OLIVER MEDICINE PROFESSIONAL,11296966.80
FONDATION CARREFOUR NOUVEAU MONDE,11182848.42
MAISON PAINCHAUD,11041617.68
MAISON RADISSON,10967505.50
LARCH HALF WAY HOUSE OF SUDBURY,10783107.02
FORD MOTOR COMPANY,10462491.63
STONEHENGE THERAPEUTIC COMMUNITY,10453815.65
TEKNION,10193074.42
SIERRA SYSTEMS GROUP,9944548.20
ELIZABETH FRY SOCIETY,9839739.19
DYNACARE,9676907.90
MAISON DECISION HOUSE,9550916.13
SPARX SMART PODS,9351455.25
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,9116397.99
MAGAL S3 CANADA,8836171.95
S R C PROFESSIONAL,8524649.00
ALBERTA SEVENTH STEP SOCIETY,8437416.88
MINDWIRE SYSTEMS,8090759.00
COVERDALE CENTRE FOR WOMEN,8056243.88
ARI FINANCIAL SERVICES,8030612.26
JOHN HOWARD SOCIETY OF NEWFOUNDLAND AND LABRADOR THE,8006425.64
PODOLINSKY EQUIPMENT,7974917.73
DR DAVID LESAGE,7850314.80
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,7826371.96
BARGREEN ELLINGSON,7821920.30
DISMAS SOCIETY,7555214.24
ELIZABETH FRY SOCIETY OF PEEL,7511614.60
ELIZABETH FRY SOCIETY OF OTTAWA,7501714.35
UNITED CHURCH HALFWAY HOMES,7400788.03
RK MARKETING,7363693.93
MICROSOFT CANADA,7321194.52
CALIAN,7274020.71
R LAMBA FORENSIC PSYCH SERVICE,7182942.33
TSOW TUN LE LUM SOCIETY,7143483.33
FRASER REGION COMMUNITY JUSTICE IN,7110448.62
MAISON JOINS TOI,7054572.35
NORTHFIELD METAL PRODUCTS,7047866.11
CRC D ATNQ,7036167.86
H K K INTERNATIONAL,6794565.83
JOHN HOWARD SOCIETY OF TORONTO,6766373.08
NISHA TECHONOLOGIES,6457489.82
IMPERIAL OIL,6420314.42
LANGUAGE MARKETPLACE,6222296.12
SEVEN SOUTH STREET TREATMENT CENTRE,6206101.02
JOHN HOWARD SOCIETY BEDFORD HOUSE,6168984.76
JOHN HOWARD SOCIETY OF NB,6146195.32
CIRCLE OF EAGLES LODGE SOCIETY,5956072.33
SOCIETE ELIZABETH FRY DU QUEBEC,5858931.27
THE JOHN HOWARD SOCIETY OF NEWFOUNDLAND AND LABRADOR,5858030.78
CRC CURE LABELLE,5783870.80
DR MANDEEP SAINI,5780413.00
ATIRA WOMENS RESOURCE SOCIETY,5747733.00
GENERAL MOTORS,5616820.16
APICA MEDICAL SERVICES,5597475.91
TUNGASUVVINGAT INUIT,5423491.00
CORPORATION PROFESSIONNELLE MEDICALE THERIAULT ARSENAULT,5375526.29
ELIZABETH FRY SOCIETY OF CAPE BRETON,5278055.11
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,5137686.86
GENERAL DYNAMICS,5069549.94
PRO J PHARMA,5032972.00
INDIGENOUS SPIRITUAL ELDERS OF CANADA,5029942.29
HOUSE OF HOPE,5010974.11
