vendor_normalized,sum_effective_value
A HUNDRED ANSWERS,3663974.66
MNP,2935544.41
GCSTRATEGIES,2141971.79
NISHA TECHONOLOGIES,2080692.91
GARTNER,1590732.68
OTTAWA MARRIOTT OTTAWA,1534109.26
ADRM TECHNOLOGY CONSULTING,1499651.24
COFOMO,1191144.38
BDO CANADA,1093829.40
TURTLE TECHNOLOGIES,999321.30
ACCESS 2 NETWORKS,790616.40
EXCEL HUMAN RESOURCES,738332.35
STONEWORKS TECHNOLOGIES,736097.76
ORANGUTECH,616827.89
ALTIS HUMAN RESOURCES,616319.15
LANNICK CONTRACT SOLUTIONS,552361.27
RICOH,491849.67
HILTON GARDEN INN,477167.60
OPENFRAME TECHNOLOGIES,382932.10
ADVANCE HE,375278.16
FORRESTER RESEARCH CANADA,367159.60
TES CONTRACT SERVICES,366122.55
SAP,318843.92
PRA,252837.50
CARLSON WAGONLIT GLOBAL TRAVEL,248995.50
4PLAN CONSULTING,246792.00
ERNST YOUNG,241663.49
MICROSOFT CANADA,236568.53
PLEIAD CANADA,210618.89
SAMSON ASSOCIES,196521.12
OPEN STORAGE SOLUTIONS,191955.31
FREEBALANCE,188368.74
SCIENCE METRIX,181755.98
MAXSYS PROFESSIONALS AND,174056.72
COLLIERS PROJECT LEADERS,167556.40
HAY GROUP,166343.33
9088 5542 QUEBEC,166110.00
SOFTCHOICE,161768.52
COMPUCOM CANADA,160720.24
ROGERS,147409.06
CACHE COMPUTER CONSULTING,144075.00
ARTEMP PERSONNEL SERVICES,143807.24
BYTOWN CATERING,141250.00
DLS TECHNOLOGY,132247.92
IRON MOUNTAIN CDA OPRATINS,128359.02
SOFTSIM TECHNOLOGIES,122476.93
CANADIAN CORPS OF COMMISSIONAIRES,118231.54
ODGERS BERNDTSON RF,110220.20
GRAYBRIDGE INTERNATIONAL CONSULTING,109016.92
IBM CANADA,107244.75
EAGLE PROFESSIONAL RESOURCES,105793.43
RFP SOLUTIONS,105768.00
LEAN AGILITY,105078.70
PRINTERS PLUS,102460.50
SYBASE CANADA,98681.77
ELM PRINTING,97715.12
BAYARD CANADA,96954.00
NITAM SOLUTIONS,95480.48
IMPRIMERIE LEMPREINTE,94779.88
THE AIM GROUP,93970.81
SRA STAFFING SOLUTIONS,92073.15
I4C INFORMATION TECHNOLOGY,87010.00
THE MIXING BOWL,84750.00
KPMG,82950.47
OPSWAT,82346.56
ORACLE CANADA,78332.37
DELOITTE AND TOUCHE,77106.00
CLARIVATE ANALYTICS USLLC,75433.22
GREEN REBEL,74892.22
GROUPE VOXCO,74203.33
ITEX,72243.39
QUINTET CONSULTING,70794.50
TEKNION,70411.72
CTC TRAINCANADA,70291.65
LES PUBLICATIONS BDL,70286.00
THE RIGHT DOOR CONSULTING,69495.00
SECLORE,69150.03
DYNAMIC PERSONNEL CONSULTANTS,68219.04
ERGOPRIME,67976.28
MESSA COMPUTING,67438.40
UQAM OST,66402.00
RAYMOND CHABOT GRANT THORNTON,58986.00
VMWARE,56989.30
THOMSON REUTERS SCIENTIFIC,56623.07
PRICEWATERHOUSE COOPERS,51930.57
LES PUBLICATIONS BLD,49833.00
CGI,49720.00
LIPMAN STILL PICTURES,49720.00
DELTA OTTAWA CITY CENTRE,49146.81
GELDER GINGRAS AND ASSOCIATES,48067.38
LINKBYNET,46898.88
PROQUEST,46719.52
BLACKBERRY,46045.20
FESTIVAL PROMOTIONS,45466.68
CONEXSYS,43849.64
MINDWIRE SYSTEMS,43398.39
VERSATIL BPI,42611.86
TOSHIBA CLIENT SOLUTIONS CAN,42222.78
CDW CANADA,41873.35
DELL COMPUTER,41374.50
CISION CANADA,39521.73
BRYMARK,38640.35
VERITAAQ TECHNOLOGY HOUSE,38476.50
ANDORA GRAPHICS,38391.75
ADVANCED BUSINESS INTERIORS,37788.56
BRYMARK PROMOTIONS,37753.30
DENISE PERRIER COACHING,37120.50
CSDC SYSTEMS,36829.76
ESTUNIS ASSOCIATES,36160.00
QUANTUM MANAGEMENT SERVICES,35684.61
APPLIED ELECTONICS,34412.62
MICROFICHES,33297.96
CNW GROUP,32837.80
WALKER CLARE,32815.20
THINKIT CREATIVE,32759.83
WORDTASK INFORMATION,31508.17
CAPITAL OFFICE INTERIORS,30750.00
PROACTIVE SECURITY,30419.60
ENTRUST,29647.70
TURTLE ISLAND STAFFING,29435.88
GRAND TOY,28250.00
ROBERTSON COMPANY,26960.68
ECOLE CREUSOT,26607.20
NORTHERN MICRO,26046.50
HAS MARKETING,24998.31
BLUERIVER TRADING,24993.11
PROTAK CONSULTING GROUP,24984.30
PRPIC MAYA,24973.00
GOSS GILROY,24936.25
RHETORICA,24916.50
INNOVEE,24916.50
FACILITE INFORMATIQUE CANADA,24905.20
BRECKENHILL,24860.00
SIMZER DESIGN,24860.00
OPENPLUS,24860.00
OPENPLUSCA,24860.00
OPENTEXT,24860.00
BP M CONSULTING,24860.00
CANADIAN COUNCIL FOR,24750.00
CORADIX TECHNOLOGY CONSULTING,24747.00
CITRIX,24645.09
