gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,186,132,54
ATCO,172,146,26
NISHA TECHONOLOGIES,151,140,11
CANON,150,135,15
ALTIS HUMAN RESOURCES,131,98,33
TDS DIXON,121,120,1
PRINTERS PLUS,117,116,1
CANADIAN CORPS OF COMMISSIONAIRES,116,89,27
AGILENT,107,106,1
FISHER SCIENTIFIC COMPANY,98,95,3
GREAT SLAVE HELICOPTERS,97,72,25
ESRI,89,83,6
VWR INTERNATIONAL,85,85,0
STANTEC,81,79,2
WSP,81,69,12
ACTIVATION LABORATORIES,77,76,1
NORTHERN MICRO,73,73,0
THERMO FISHER SCIENTIFIC,67,67,0
PRISM ENGINEERING,65,64,1
MACDONALD DETTWILER AND ASSOCIATES,63,56,7
FIRST AIR,62,53,9
ITEX,61,60,1
SHARP ELECTRONICS,59,57,2
CANADIAN HELICOPTERS,59,52,7
OVERBURDEN DRILLING MANAGEMENT,59,59,0
CBCI TELECOM,55,55,0
ADVANCED BUSINESS INTERIORS,55,54,1
SOFTCHOICE,55,54,1
BRONSON CONSULTING GROUP,53,48,5
KENN BOREK AIR,50,33,17
UNIVERSITY OF ALBERTA,50,48,2
UNIVERSAL HELICOPTERS,49,32,17
UNIVERSITY OF BRITISH COLUMBIA,49,46,3
CARLETON UNIVERSITY,48,44,4
TAG HR,48,31,17
HOSKIN SCIENTIFIC,47,47,0
ALTUS GEOMATICS,47,47,0
GROUPE INFO CONSULT,47,47,0
953731 NWT,47,46,1
UNIVERSITE LAVAL,45,44,1
FISHER SCIENTIFIC,44,44,0
NAVIGANT CONSULTING,43,42,1
ICF CONSULTING CANADA,42,38,4
CANETA RESEARCH,42,41,1
RGB MEDIA,41,12,29
DELOITTE AND TOUCHE,40,30,10
THE MATHWORKS,40,39,1
MATRA GS TRANSLATION SERVICES,39,34,5
STRATOS,38,35,3
KNOWLEDGE CIRCLE,38,33,5
ATS SCIENTIFIC,37,37,0
EXPOGRAPHIQ,37,36,1
UNIVERSITY OF OTTAWA,36,33,3
GEOFORCE CONSULTANTS,36,35,1
NANOMETRICS,35,32,3
MICROSOFT CANADA,35,34,1
ANSYS CANADA,35,31,4
TEKNION,35,35,0
VERITAAQ TECHNOLOGY HOUSE,35,16,19
COSSETTE COMMUNICATIONS,35,32,3
FPINNOVATIONS,34,28,6
DYNAMIC PERSONNEL CONSULTANTS,33,20,13
HYPERACTIVE PRODUCTIONS,33,32,1
OPENTEXT,33,31,2
ACTION PERSONNEL,33,21,12
ACME ANALYTICAL LABORATORIES,33,32,1
UNIVERSITY OF WATERLOO,32,31,1
LINDE CANADA,32,29,3
UNIVERSITY OF CALGARY,32,31,1
VANCOUVER PETROGRAPHICS,31,30,1
PCI GEOMATICS ENTERPRISES,30,29,1
TRANS NORTH TURBO AIR,30,28,2
GEOFORCE GROUP,29,29,0
KPMG,29,24,5
GENOME QUEBEC,29,28,1
QMR,29,21,8
PRIORITY PERSONNEL,29,23,6
SAS INSTITUTE,29,29,0
NORTH WRIGHT AIRWAYS,29,27,2
UNAALIK AVIATION 2004,28,16,12
GENERAL MOTORS,28,28,0
GROUPE TRIFIDE,28,27,1
REDMANGO MEDIA,28,12,16
JWRL GEOMATICS,28,28,0
FORD MOTOR COMPANY,28,28,0
LECO INSTRUMENTS,28,27,1
UNIVERSITY OF NEW BRUNSWICK,28,25,3
CSA GROUP,28,28,0
ARTEMP PERSONNEL SERVICES,27,17,10
RIGAKU AMERICAS,27,26,1
THE CANADIAN CORPS OF,27,21,6
FOREST COMMUNICATIONS,27,27,0
CHIAN CONSULTING,27,25,2
MTS ALLSTREAM,26,25,1
ACART COMMUNICATIONS,26,25,1
HELIJET INTERNATIONAL,26,22,4
BG COMMUNICATIONS INTERNATIONAL,26,22,4
DALHOUSIE UNIVERSITY,26,26,0
ARBORICULTURAL SERVICES,25,25,0
MESSA COMPUTING,25,9,16
MCMASTER UNIVERSITY,25,25,0
SGS CANADA,25,21,4
TUDJAAT OP,25,25,0
UNDERHILL GEOMATICS,24,24,0
TULLOCH GEOMATICS,24,22,2
RAYMOND CHABOT GRANT THORNTON,24,17,7
AVJET HOLDING,24,19,5
AIR LIQUIDE CANADA,24,23,1
STRACK ASSOCIATES,24,24,0
TEKSYSTEMS CANADA,24,14,10
XEROX,23,22,1
RTG PROTECH,23,22,1
HYPERTEC,23,21,2
POSTERITY GROUP CONSULTING,23,19,4
UNIVERSITY OF TORONTO,23,21,2
PETER EDWARDS,23,21,2
ENDRESS HAUSER CANADA,22,22,0
CONVERSART CONSULTING,22,17,5
COMSOL,22,22,0
PERFORMANCE MANAGEMENT NETWORK,22,18,4
THE CONFERENCE BOARD OF CANADA,22,21,1
CAMPBELL SCIENTIFIC CANADA,22,21,1
TERAMACH TECHNOLOGIES,22,17,5
UNIVERSITY OF MANITOBA,22,22,0
MCELHANNEY ASSOCIATES,22,22,0
PLANET LABS GEOMATICS,21,20,1
SAMSON ASSOCIES,21,19,2
SIMON FRASER UNIVERSITY,20,17,3
RADIATION SOLUTIONS,20,19,1
IRON MOUNTAIN CANADA,20,14,6
ERNST YOUNG,19,11,8
KNOWLEDGE CIRCLE LEARNING,19,19,0
LANGUAGE MARKETPLACE,19,14,5
ISOMASS SCIENTIFIC,19,19,0
REFRACTIONS RESEARCH,19,16,3
CALIAN,19,9,10
THE AIM GROUP,19,15,4
ALLSET,19,19,0
PRICEWATERHOUSE COOPERS,19,15,4
IHS GLOBAL,19,18,1
IIC TECHNOLOGIES,19,19,0
CDW CANADA,19,19,0
SERVICE SYSTEMS FOR RESEARCH,19,16,3
SAHTU HELICOPTERS,19,19,0
TOTEM OFFISOURCE,18,18,0
H3 CREATIVE,18,18,0
BDO CANADA,18,17,1
MAPLESOFT CONSULTING,18,11,7
ISLAND KEY COMPUTER,18,17,1
COFOMO,18,10,8
BUREAU VERITAS COMMODITIES CANADA L,18,17,1
QUEENS UNIVERSITY,18,17,1
NORTAK SOFTWARE,18,10,8
DISCOVERY MINING SERVICES,18,12,6
DELL COMPUTER,18,18,0
GOLDER ASSOCIATES,18,18,0
AIR TINDI,18,17,1
RICOH,18,15,3
TORCHLIGHT BIORESOURCES,17,17,0
HONEYWELL,17,15,2
RAYWORTH ROBERTS SURVEYS,17,17,0
ECONOLER INTERNATIONAL,17,12,5
OPEN GEOSPATIAL CONSORTIUM,17,12,5
PROQUEST,17,17,0
INSTITUT NATIONAL DE LA RECHERCHE,17,14,3
QUANTUM MANAGEMENT SERVICES,17,16,1
DESROSIERS AUTOMOTIVE,17,15,2
ACCURATE DESIGN,17,16,1
SAMSON AND ASSOCIATES,17,15,2
HITACHI DATA SYSTEMS,16,16,0
ARCADIS CANADA,16,15,1
METTLER TOLEDO,16,16,0
WOOD MACKENZIE,16,15,1
MERIDIAN SURVEYS,16,16,0
EFFIGIS GEO SOLUTIONS,16,15,1
COMPUSULT,16,7,9
HAWORTH,16,16,0
IHS MARKIT CANADA,16,16,0
NEWS CANADA,16,16,0
FAST FORWARD FRENCH,16,14,2
EDMONTON VALVE FITTING,16,16,0
TERRA REPRODUCTIONS,16,10,6
PARR INSTRUMENT COMPANY,15,15,0
PACIFIC GEOMATICS,15,15,0
STRUERS,15,15,0
GARTNER,15,15,0
ASPEN TECHNOLOGY,15,11,4
ANTON PAAR CANADA,15,15,0
BERLITZ CANADA,15,15,0
RBR,15,15,0
NOVA NETWORKS,15,15,0
M5 MARKETING COMMUNICATIONS,15,13,2
GLOBAL UPHOLSTERY,15,13,2
LES INVESTISSEMENTS NOLINOR,15,14,1
PETROVALUE PRODUCTS,15,14,1
GEOLOCATION SPRCP,14,13,1
HOVEY INDUSTRIES 2005,14,13,1
NATIONAL INSTRUMENTS CANADA,14,14,0
L2 EMERGENCE,14,14,0
KJARSGAARD INGRID,14,14,0
