vendor_normalized,effective_year,sum_yearly_value
ADIRONDACK INFORMATION MANAGEMENT AMITA ARTEMP PERSONNEL SERVICES THE AIM GROUP IN JOINT VENTURE,2019,848793.14
ALTIS HUMAN RESOURCES,2017,91768.68
ALTIS HUMAN RESOURCES,2018,213000.36
ALTIS HUMAN RESOURCES,2019,175704.18
EXCEL HUMAN RESOURCES,2018,159643.27
EXCEL HUMAN RESOURCES,2019,105161.29
FMC PROFESSIONALS,2018,80395.64
FMC PROFESSIONALS,2019,80395.64
GOLDBLATT PARTNERS,2018,95637.17
GOLDBLATT PARTNERS,2019,95637.17
IDS SYSTEMS,2016,80482.50
IDS SYSTEMS,2017,80482.50
IDS SYSTEMS,2018,84315.00
IDS SYSTEMS,2019,84315.00
MICROSOFT CANADA,2019,165287.10
NISHA TECHONOLOGIES,2018,57632.80
NISHA TECHONOLOGIES,2019,288014.04
SOLUTIONS MOERAE MSI,2018,452211.88
SOLUTIONS MOERAE MSI,2019,308538.03
THE AIM GROUP,2018,103835.57
THE AIM GROUP,2019,164678.80
