gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,417,242,175
MINDWIRE SYSTEMS,179,77,102
COFOMO,177,65,112
VERITAAQ TECHNOLOGY HOUSE,161,77,84
MODIS CANADA,151,65,86
NORTHERN MICRO,125,122,3
ALTIS HUMAN RESOURCES,125,87,38
CORADIX TECHNOLOGY CONSULTING,123,51,72
KNOWLEDGE CIRCLE LEARNING SERVICES,120,102,18
GRAYBRIDGE INTERNATIONAL CONSULTING,113,104,9
THE AIM GROUP,105,66,39
SOFTCHOICE,102,99,3
CANADIAN CORPS OF COMMISSIONAIRES,99,84,15
IBM CANADA,98,69,29
ACME FUTURE SECURITY CONTROLS,86,76,10
3005526 CANADA,81,79,2
KPMG,79,64,15
DELOITTE AND TOUCHE,69,47,22
LUMINA IT,68,49,19
AVI SPL CANADA,68,67,1
SI SYSTEMS,65,30,35
TOTEM OFFISOURCE,62,59,3
ASOKAN BUSINESS INTERIORS,60,59,1
PRICEWATERHOUSE COOPERS,60,37,23
EBSCO CANADA,59,57,2
COPEM CONSULTING,58,50,8
OPENTEXT,57,50,7
TELECOM COMPUTER SERVICES,56,54,2
ADVANCED BUSINESS INTERIORS,55,52,3
SYSTEMSCOPE,54,34,20
LEVERAGE TECHNOLOGY RESOURCES,54,22,32
MACKINNON CHARLTON,51,48,3
IHS GLOBAL,51,49,2
GARTNER,50,49,1
SHOULDICE MECHANICAL,49,46,3
HAWORTH,48,43,5
ROHDE SCHWARZ CANADA,48,47,1
LABOR TEK PERSONNEL SERVICES,45,32,13
RANDSTAD,44,28,16
BGIS,42,42,0
BELL CANADA,41,32,9
CONFERENCE BOARD OF CANADA THE,41,38,3
ARTEMP PERSONNEL SERVICES,41,28,13
CDW CANADA,40,40,0
TESTFORCE SYSTEMS,40,40,0
MEDIA Q,39,34,5
CANON,39,28,11
PITNEY BOWES,38,38,0
DELL COMPUTER,38,36,2
THOMSON REUTERS CANADA,38,37,1
MICROSOFT CANADA,37,31,6
FAST FORWARD FRENCH,37,28,9
CISTEL TECHNOLOGY,36,22,14
QUANTUM MANAGEMENT SERVICES,35,27,8
