vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,19077069.52
LIONBRIDGE,3282500.00
INTERNATIONAL REPORTING AND TRANSCRIPTION,2765235.92
TELUS CANADA,1915390.28
INTERNATIONAL REPORTING,1457351.71
ATCHISON DENMAN COURT REPORTING,1343570.00
RICOH,1229081.90
SAMSON ASSOCIATES,969999.50
ORACLE CANADA,874928.46
VISIONTEC 2008,863908.05
AVI SPL CANADA,851664.35
NISHA TECHONOLOGIES,848469.27
EXCEL HUMAN RESOURCES,776792.32
CBCI TELECOM,754895.15
NORTHERN MICRO,624895.58
SOFTCHOICE,560772.48
DONNA CONA,509737.05
TEKNION,493594.67
ECLIPSYS SOLUTIONS,445085.40
PURESPIRIT SOLUTIONS,445047.48
ADVANCED CHIPPEWA TECHNOLOGIES,404733.81
THE MASHA KRUPP TRANSLATION GROUP,400000.00
LES TRADUCTIONS TESSIER SCC,400000.00
MASHA KRUPP TRANSLATION GROUP,400000.00
LEO PISCES SERVICES GROUP,377973.71
ASOKAN BUSINESS INTERIORS,345662.19
QUICK MESSENGER CHRISTPHER KERRIGAN,339876.65
MOERAE SOLUTIONS MSICORP,318837.20
ITEX,311392.46
FREEBALANCE,305796.85
COFORCE,299972.78
SIMPLEX GRINNELL,291985.79
PURESPIRIT,289576.03
LEXUM,277489.90
LANGUAGE RESEARCH DEVELOPMENT GROUP,275463.47
ALTIS HUMAN RESOURCES,273476.76
COMPUCOM CANADA,270507.39
CONEXSYS,254645.15
PAYSTATION,249189.18
WHAREHOUSE EXPERT,247295.12
TES CONTRACT SERVICES,223381.79
THOMSON REUTERS CANADA,221874.01
RS CONTRUCTION AND CONTRACTING,205993.00
QMR,201968.63
RAYMOND CHABOT GRANT THORNTON,194289.38
ADRM TECHNOLOGY CONSULTING,193908.00
CONOSCENTI TECHNOLOGIES,182585.40
INTERSOL,169500.00
VMWARE,168630.61
TURTLE ISLAND STAFFING,168348.00
TENTHLINE,162422.50
HYPERTEC,161706.60
TOSHIBA,161547.34
6578705 CANADA PR SERVICES,147600.00
MAVERIN,145128.73
FCA CANADA,145045.68
HEARTZAP SERVICES,144373.88
THOMSON CANADA CARSWELL,143112.24
WOLTERS KLUWER CCH,136675.99
