gen_vendor_normalized,total_entries,total_contracts,total_amendments
IRVING OIL,1271,1242,29
WARTSILA,849,654,195
CHEVRON,549,541,8
CANADIAN CORPS OF COMMISSIONAIRES,426,293,133
GARLOCK OF CANADA OPERATING AS FAIRBANKS MORSE ENGINE,424,343,81
WAJAX POWER SYSTEMS,420,341,79
STERLING FUELS,409,393,16
AFN ENGINEERING,391,301,90
FORD MOTOR COMPANY,381,326,55
BEAVER AIR CHARTER CONSULTANTS,350,328,22
ALTIS HUMAN RESOURCES,343,206,137
TOROMONT INDUSTRIES,317,244,73
GO DEEP INTERNATIONAL,296,266,30
MADSEN DIESEL TURBINE,296,258,38
STANTEC,292,218,74
JOSEPH ELIE,245,228,17
HOSKIN SCIENTIFIC,243,227,16
SUNCOR ENERGY PRODUCTS PARTNERSHIP,242,237,5
EXCEL HUMAN RESOURCES,238,146,92
CANADIAN MARITIME ENGINEERING,227,145,82
WSP,215,169,46
ATLANTIC TRACTORS EQUIPMENT,214,164,50
IMPERIAL OIL,209,197,12
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,208,134,74
YAMAHA MOTOR CANADA,207,183,24
PARKLAND REFINING BC,207,206,1
FAIRBANKS MORSE ENGINE DIVISION,190,142,48
NEWDOCK ST JOHN S DOCKYARD,188,98,90
GOLDER ASSOCIATES,184,139,45
SNC LAVALIN,184,140,44
XEROX,182,112,70
KONICA MINOLTA BUSINESS SOLUTIONS CANADA,181,44,137
DONNA CONA,177,106,71
MOTOROLA SOLUTIONS CANADA,173,154,19
M R FISHERIES,172,51,121
DASCO EQUIPMENT,168,164,4
SIEMENS,167,127,40
SI SYSTEMS,161,93,68
GENERAL MOTORS,161,147,14
LIFE TECHNOLOGIES,156,134,22
DIESEL INJECTION SALES AND SERVICE,150,135,15
D F BARNES,149,124,25
BELL CANADA,145,99,46
KNOWLEDGE CIRCLE,142,100,42
VALCOM CONSULTING,140,82,58
XPERT SOLUTIONS TECHNOLOGIQUES,136,112,24
FISHER SCIENTIFIC,133,129,4
NORTHWEST FUELS,133,132,1
SKRETTING,133,131,2
WILDLIFE COMPUTERS,131,128,3
IIC TECHNOLOGIES,128,106,22
