vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,1405692.50
PAUL H LAFOND ET FILS,422796.00
TPSGC,251270.00
ECO VERDURE,218450.00
GESTION ARBEAU FLEURI,166847.00
CONSTRUCTION PAVAGE PORTNEUF,155997.00
TOITURES QUATRE SAISONS,149524.00
EMS INGENIERIE,117348.00
MBH MOBILIER DE BUREAU,115974.00
MUSEE NATIONAL DES BEAUX ARTS DU QUEBEC,114250.00
ERNST YOUNG,101408.40
CENTRE DE CONSERVATION DU QUEBEC,92242.00
GROUPE FVP,87116.00
CONSTRUCTION COUTURE ET TANGUAY,84448.00
FORD MOTOR COMPANY,82513.00
MAXI PAYSAGE,81899.50
DESCHAMPS IMPRESSION,79292.00
FG WELSH,78643.00
TRO CHAINES,75072.14
DIALOGUE,74978.00
PAVAGE RAY DESROCHERS,74497.00
BUREAU DU CONSEIL PRIVE,70000.00
ML ENTRETIEN MULTISERVICES,64606.00
PANAVIDEO,58683.00
TOITURES PREMONT,58674.00
COMPUGEN,51508.00
PLANIDESIGN,43290.00
SIGNALISATION LEVIS,42390.00
AGENCE DE LEST P J,41828.00
PALADIN TECHNOLOGIES,41249.76
CONCEPTION ALAIN GAGNE,39390.00
MENUISERIE POULIOT D,39023.33
A DOUBLE TOUR,28840.00
SOLOTECH,28294.00
CALE,26214.00
HONEYWELL,25473.00
WOLSELEY,25324.00
SOCIETE PARC AUTO DU QUEBEC,18465.00
ABCP ARCHITECTURE,18396.00
RE MAX FORTIN DELAGE,17670.00
CAROLE BRECKLER,17289.00
KELLY SERVICES CANADA,15767.00
IXMEDIA,15441.00
PATEX,15146.00
DISTRIBUTION AFFICHE TOUT,14935.00
GROUPE GID DESIGN,14560.15
JEAN LECLERC EXCAVATION,14429.00
LES CHEMINEES GAMELIN,12659.00
PRM,12173.10
LAFOND COTE ARCHITECTES,12072.00
SANI BLEU,11796.00
GDG ENVIRONNEMENT,11498.00
MINIMAL,6367.00
