source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,8770,4479,4291,76638448.70,5207180060.54
2011,7244,3839,3405,66174424.61,4348169452.26
2012,5915,3164,2751,54193470.55,3642015744.15
2013,5229,2844,2385,48232971.28,1670211882.33
2014,4998,2594,2404,44025766.57,2125305171.43
2015,4686,2324,2362,38532425.08,10774889760.77
2016,5335,2545,2790,42161984.09,3135772512.48
2017,5666,2682,2984,44474841.08,2513225135.50
2018,5628,2876,2752,47756283.24,2767143157.08
2019,5494,2566,2928,42909097.95,1990060027.57
